index,tag,label
42126,cage-chicken-eggs,Cage chicken eggs
42145,mixtures-of-herbs-and-spices,Mixtures of herbs and spices
42173,probioticos,probioticos
42200,saborizantes,saborizantes
42201,arroz-integral,arroz-integral
42242,foies-gras-mi-cuits,Foies gras mi-cuits
42250,noix-de-saint-jacques-sans-corail,noix-de-saint-jacques-sans-corail
42260,poultry-skewers,Poultry skewers
42261,viande-de-volaille-preparee,viande-de-volaille-preparee
42282,fried-onions,Fried onions
42302,dried-papayas,Dried papayas
42331,vegetable-risottos,Vegetable risottos
42377,toppings,Toppings
42386,plat-cuisine-vegetarien,plat-cuisine-vegetarien
42410,grignotage-sale,Grignotage salé
42475,chocolate-advent-calendars,Chocolate Advent calendars
42540,type-45,type-45
42546,pain-suedois,pain-suedois
42557,boisson-au-soja,Boisson-au-soja
42584,escalopes-de,escalopes-de
42615,grape-seed-oils,Grape seed oils
42631,noix-d-epaule,noix-d-epaule
42641,candied-fruits,Candied fruits
42642,poires-confites,poires-confites
42648,chicken-terrines,Chicken terrines
42652,saucisses-cocktail,Cocktail sausage
42688,thons-albacore-au-naturel,Thons albacore au naturel
42689,engagement-responsable,engagement-responsable
42705,sardines-in-sunflower-oil,Sardines in sunflower oil
42751,coffee-ice-cream,Coffee-ice-cream
42752,mocha-ice-cream,Mocha-ice-cream
42758,aliments-et-boissons-de-paques,aliments-et-boissons-de-paques
42764,cucumber-salads,Cucumber salads
42765,concombres-a-la-creme,Concombres à la crème
42777,trout-rillettes,Trout rillettes
42779,rillettes-speciales,rillettes-speciales
42852,plain-bifidus-yogurts,Plain bifidus yogurts
42952,sauces-mexicaines,sauces-mexicaines
42965,blanquettes-of-duck,Blanquettes of duck
42982,beef-cannelloni,Beef Cannelloni
42983,bolognese-cannelloni,Bolognese Cannelloni
42984,cannellonis-a-la-sauce-italienne,cannellonis-a-la-sauce-italienne
43014,tabbouleh-with-tomatoes,Tabbouleh with tomatoes
43015,potages,potages
43031,cassoulets-with-duck-confit,Cassoulets with duck confit
43038,tartiflettes,Tartiflettes
43039,canned-tartiflettes,Canned tartiflettes
43047,galettes-bretonnes,galettes-bretonnes
43060,conserve-de-quenelles,conserve-de-quenelles
43101,pates-lorrains,pates-lorrains
43112,sardine-fillets-in-olive-oil,Sardine fillets in olive oil
43150,creme-liquide-entiere,creme-liquide-entiere
43156,fruit-stirred-yogurts,Fruit stirred yogurts
43164,charcutrie,charcutrie
43181,young-mimolettes,Young mimolettes
43204,frozen-chopped-garlic,Frozen chopped garlic
43214,petits-pains,petits-pains
43268,hazelnut-chocolate,Hazelnut-chocolate
43272,dijon-mayonnaises,Dijon mayonnaises
43289,white-chocolate-with-coconut-pieces,White chocolate with coconut pieces
43296,fruit-and-nut-chocolate,Fruit-and-nut-chocolate
43310,gaufres-fourrees-au-caramel,gaufres-fourrees-au-caramel
43359,legumes-conserve,legumes-conserve
43360,sugary-snacks,Sugary-snacks
43403,long-madeleines,Long madeleines
43404,madeleines-longues-marbrees,madeleines-longues-marbrees
