code,product_name,categories_tags,categories_en,countries_en,ingredients_text,allergens,nutriscore_grade,nova_group,main_category,energy-kcal_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
0000790310020,Jelly Fish,snacks|sweet-snacks|confectioneries|candies,Snacks|Sweet snacks|Confectioneries|Candies,Germany,sugar|corn syrup|modified corn starch|citrict acid|sodium citrate|natural|artificial flavours|mineral oil|carnauba wax|red|yellow|yellow|blue,,c,4.0,candies,140.0,0.0,0.0,,,34.0,24.0,0.0,0.0,0.0762,0.03048
0001006530676,Ajo picado Del Monte,canned-foods,Canned foods,Mexico,agua|ajo|ácido fosfórico|goma xantana y goma guar,,b,4.0,canned-foods,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.593,0.237
000104,30 Panach' Fruits,snacks|sweet-snacks|biscuits-and-cakes|cakes|gouters-individuels,Snacks|Sweet snacks|Biscuits and cakes|Cakes|gouters-individuels,France,pâtisseries fourrées à la pulpe de pêche|farine de blé|fourrage pêche|sirop de glucosefructose|purée de pêche|sucre|gélifiant|pectines|correcteurs d|acidité|acide citrique citrates de sodium|arômes|conservateur|sorbate de potassium|huile de colza|oeufs frais|sucre|sirop de glucosefructose|stabilisant|glycérol|poudres à lever|carbonates d|ammonium carbonates de sodium diphosphates|blé|sel|lait écrémé en poudre|émulsifiants|mono et diglycérides d|acides gras|arôme|exprimé sur le fourrage équivalent à|sur l|ensemble du produit|pâtisseries fourrées à la pulpe d'abricot|farine de blé|fourrage abricot|sirop de glucosefructose|purée d'abricot|sucre|gélifiant|pectines|correcteurs d|acidité|acide citrique citrates de sodium|arômes|conservateur|sorbate de potassium|huile de colza|oeufs frais|sucre|sirop de glucosefructose|stabilisant|glycérol|poudres à lever|carbonates d|ammonium carbonates de sodium diphosphates|blé|sel|lait écrémé en poudre|émulsifiants|mono et diglycérides d|acides gras|arôme|exprimé sur le fourrage équivalent à|sur l|ensemble du produit|pâtisseries fourrées à la pulpe de fruits rouges|farine de blé|fourrage fruits rouges|sirop de glucosefructose|purée de fraise|sucre|purée de framboise concentrée|équivalent à|de purée de framboise|purée de cerise concentrée|équivalent à|de purée de cerise|gélifiant|pectines|correcteurs d|acidité|acide citrique citrates de sodium|arôme|conservateur|sorbate de potassium|huile de colza|oeufs frais|sucre|sirop de glucosefructose|stabilisant|glycérol|poudres à lever|carbonates d|ammonium carbonates de sodium diphosphates|blé|sel|lait écrémé en poudre|émulsifiants|mono et diglycérides d|acides gras|arôme|soit un équivalent de|de purée de fruits sur le fourrage équivalent à|sur l|ensemble du produit,,c,4.0,gouters-individuels,412.0,18.0,2.0,,,57.0,31.0,1.0,5.0,0.63,0.252
00010498,Burger USA,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|sandwiches|breads|hamburgers|special-breads,Plant-based foods and beverages|Plant-based foods|Cereals and potatoes|Sandwiches|Breads|Hamburgers|Special breads,France,pain burger au pavot|farine de ble|eau|levure|dextrose|huile de olza|sucre|arôme|graines de pavot|sarrasin|sel|gluten de ble|farine de fèves|conservateur|propionate de calcium|émulsifiant|mono et diglycerides gras|antioxydant|acide ascorbique|garniture|aiguillettes de poulet pané|aiguillettes poulet|farine de ble|eau|huile de tournesol|sel|amidon modifié|arôme|lactose|gluten|stabilisants|eili|levure|épaississant|fromage cheddar|fromages|dont cheddar|lait écrémé réhydraté|beurre|sels de fonte|citrates de sodium|acide citrique protéines de lait|sel colorant|extrait de paprika|antiagglomérant|lécithine de tourneso|guacamole|avocat hass|poivron rouge sel|piment jalapeno|antioxygène|acide ascorbique|oignon|épaississant|gomme de xanthane|acidifiant|ascorbate de sodium|ail|acidifiant|acide citrique|coriandre|salade batavia|tomate,en|en,b,4.0,special-breads,209.0,8.3,3.0,,,22.6,3.2,2.1,9.9,1.2,0.48
00011021096,Foie gras de canard du Périgord,fish-and-meat-and-eggs|foies-gras|foies-gras-from-ducks,Fish and meat and eggs|Foies gras|Foies gras from ducks,France,foie gras de canard du périgord|eau|armagnac|sel|poivre,,e,3.0,foies-gras-from-ducks,544.0,56.0,23.0,,,23.0,0.6,,7.1,1.9,0.76
00011136,Baguette Parisien,sandwiches|sandwiches-filled-with-cold-cuts|ham-sandwiches,Sandwiches|Sandwiches filled with cold cuts|Ham sandwiches,France,pain baguette|farine de froment|eau|levure|sel|garniture|jambon|jambon de porc|origine france|eau|sel|arômes naturels|dextrose|bouillon de porc déshydraté|eau|os et viande de porc|extrait de carotte et extrait de poireau|sirop de glucose|chlorure de potassium|antioxydant|ascorbate de sodium|conservate nitrite de sodium|beurre léger|eau|beurre|amidon modifié|amidon de pomme de terre|acidifia acide lactique|sel|émulsifia|épaississant e|conservateur|sorbate de potassium|colorant bétacarotène|arome naturel|exprimés sur garniture,,c,4.0,ham-sandwiches,222.0,3.3,2.1,,,38.4,1.8,2.0,11.7,1.7,0.68
00011150,Baguette Lyonnais,sandwiches|sandwiches-filled-with-cold-cuts|rosette-sandwiches,Sandwiches|Sandwiches filled with cold cuts|Rosette Sandwiches,France,pain baguette|farine de froment|eau|levure|sel|garniture|rosette|viande de porc|origine ue|sel|lactose|dextrose|épices|ail|antioxydant|érythorbate de sodium|conservateu nitrate de potassium|nitrite de sodium|ferments|beurre léger|eau|beurre|amidon modifie|amidon de pomme de terre|acidifia acide lactique|sel|émulsifia|épaississant e|conservateur|sorbate de potassium|colora bétacarotène|arôme naturel,,d,4.0,rosette-sandwiches,283.0,8.8,4.2,,,41.2,2.2,2.1,12.1,2.6,1.04
00011198,Suédois Poulet,sandwiches|poultry-sandwiches,Sandwiches|Poultry sandwiches,France,farine de ble|eau|farine de seigle|sucre|sirop de sucre|huile de colza|gluten de ble|sel|levure|levain en poudre|émulsifiants|poudre à lever|fructose|farine de malt d'orge|agent de traitement des farines|enzymes|garniture|salade verte|filet de poulet rôti|filet de poulet|origine france|eau|dextrose|huile de tournesol|sel|protéines de pois|arômes|stabilisant|fibre de blé sans gluten|gélifiant|carottes räpées|mayonnaise|huile de colza|eau|vinaigre|jaune d'oeuf|moutarde de dijon|eau|graine de moutarde|vinaigre|sel|antioxydant disulfite de potassium|acidifia acide oltrique,,a,4.0,poultry-sandwiches,210.0,0.9,0.9,,,22.6,4.3,2.0,8.0,0.8,0.32
00011501,Curiously Strong Mints,snacks|sweet-snacks|confectioneries|chocolate-candies|bonbons,Snacks|Sweet snacks|Confectioneries|Chocolate candies|Bonbons,France|United Kingdom,sugar|dextrose|glucose|peppermint flavouring|gelling age beef gelatine|menthol,,d,4.0,bonbons,398.0,0.5,0.5,,,96.0,96.0,0.1,0.9,0.0,0.0
00011679,Cookies Belgian chocolate chunk,snacks|sweet-snacks|biscuits-and-cakes|biscuits|chocolate-biscuits,Snacks|Sweet snacks|Biscuits and cakes|Biscuits|Chocolate biscuits,France,wheatflour contains gluten|with wheatflour|calcium carbonate|iron|niacin|thiamin|dark chocolate chunks|sugar|cocoa mass|cocoa butter|emulsifi soya lecithin|vanilla flavouring|sugar|butter|milk|milk chocolate chunks|sugar|dried whole milk|cocoa butter|cocoa mass|ü noulsifi soya lecithin|vanilla flavouring|raising age|sodium bicarbonate|salt|vanilla flavouring|dark chocolate contains cocoa solids|minimum|milk chocolate contains cocoa solids|minimum|milk solids|minimum,en,e,4.0,chocolate-biscuits,502.0,26.0,15.2,,,60.1,37.4,2.8,5.4,0.9,0.36
